subID,acq_cond,post_cond,retention,rotated,num_correct,rt_correct,md_crt_time,focus,usability,aesthetics,endurability,novelty,involve,eng_total,sEBR,enc_SPN,fb_SPN,RewP_ave,RewP_ave_Windows,RewP_hit_ave_Windows,RewP_miss_ave_Windows,RewP_diff_Windows
F30,sterile,game,-1,-1,13,3.605551275,1.6903,4.43,4.13,4,3.8,4.33,4.33,4.17,58,-2.150135,-12.93641125,1.56,4.106645,4.406071875,2.9089375,1.497134375
F30,sterile,game,-1,1,12,3.464101615,1.5401,4.43,4.13,4,3.8,4.33,4.33,4.17,58,-2.150135,-12.93641125,1.56,4.106645,4.406071875,2.9089375,1.497134375
F30,sterile,sterile,1,-1,12,3.464101615,2.1412,4.43,4.13,4,3.8,4.33,4.33,4.17,58,-2.150135,-12.93641125,1.56,4.106645,4.406071875,2.9089375,1.497134375
F30,sterile,sterile,1,1,12,3.464101615,1.64865,4.43,4.13,4,3.8,4.33,4.33,4.17,58,-2.150135,-12.93641125,1.56,4.106645,4.406071875,2.9089375,1.497134375
F31,game,game,1,-1,5,2.236067977,3.093,4.43,2.13,3,2.8,4,4,3.39,5,2.34283375,-5.8805975,4.09,0.22669625,3.058152,-1.060329091,4.118481091
F31,game,game,1,1,4,2,1.73265,4.43,2.13,3,2.8,4,4,3.39,5,2.34283375,-5.8805975,4.09,0.22669625,3.058152,-1.060329091,4.118481091
F31,game,sterile,-1,-1,5,2.236067977,4.0114,4.43,2.13,3,2.8,4,4,3.39,5,2.34283375,-5.8805975,4.09,0.22669625,3.058152,-1.060329091,4.118481091
F31,game,sterile,-1,1,3,1.732050808,5.60615,4.43,2.13,3,2.8,4,4,3.39,5,2.34283375,-5.8805975,4.09,0.22669625,3.058152,-1.060329091,4.118481091
F32,game,game,1,-1,15,3.872983346,1.1394,4.71,3,4.6,4.8,4.67,5,4.46,24,-1.215412857,-16.57085479,11.5,1.059894203,4.388608163,-7.095455,11.48406316
F32,game,game,1,1,14,3.741657387,0.9974,4.71,3,4.6,4.8,4.67,5,4.46,24,-1.215412857,-16.57085479,11.5,1.059894203,4.388608163,-7.095455,11.48406316
F32,game,sterile,-1,-1,14,3.741657387,1.5066,4.71,3,4.6,4.8,4.67,5,4.46,24,-1.215412857,-16.57085479,11.5,1.059894203,4.388608163,-7.095455,11.48406316
F32,game,sterile,-1,1,14,3.741657387,1.2562,4.71,3,4.6,4.8,4.67,5,4.46,24,-1.215412857,-16.57085479,11.5,1.059894203,4.388608163,-7.095455,11.48406316
F33,game,game,1,-1,7,2.645751311,3.6687,2.71,3.63,3.2,3,2.67,2.33,2.92,,,,,,,,
F33,game,game,1,1,6,2.449489743,2.87595,2.71,3.63,3.2,3,2.67,2.33,2.92,,,,,,,,
F33,game,sterile,-1,-1,2,1.414213562,1.6152,2.71,3.63,3.2,3,2.67,2.33,2.92,,,,,,,,
F33,game,sterile,-1,1,4,2,2.0327,2.71,3.63,3.2,3,2.67,2.33,2.92,,,,,,,,
F34,sterile,game,-1,-1,12,3.464101615,1.3063,4.57,3.13,4.2,4.2,4.33,4.33,4.13,22,-5.746692208,-2.920145946,3.73,11.49236883,12.94663404,9.21402,3.732614043
F34,sterile,game,-1,1,11,3.31662479,1.2395,4.57,3.13,4.2,4.2,4.33,4.33,4.13,22,-5.746692208,-2.920145946,3.73,11.49236883,12.94663404,9.21402,3.732614043
F34,sterile,sterile,1,-1,9,3,0.989,4.57,3.13,4.2,4.2,4.33,4.33,4.13,22,-5.746692208,-2.920145946,3.73,11.49236883,12.94663404,9.21402,3.732614043
F34,sterile,sterile,1,1,9,3,0.9891,4.57,3.13,4.2,4.2,4.33,4.33,4.13,22,-5.746692208,-2.920145946,3.73,11.49236883,12.94663404,9.21402,3.732614043
F35,sterile,game,-1,-1,3,1.732050808,4.1785,5,2.63,4.6,3.6,5,4.33,4.19,72,-9.96829375,-21.19103797,3.06,8.25504625,10.05532727,6.991019149,3.064308124
F35,sterile,game,-1,1,3,1.732050808,4.9476,5,2.63,4.6,3.6,5,4.33,4.19,72,-9.96829375,-21.19103797,3.06,8.25504625,10.05532727,6.991019149,3.064308124
F35,sterile,sterile,1,-1,0,0,,5,2.63,4.6,3.6,5,4.33,4.19,72,-9.96829375,-21.19103797,3.06,8.25504625,10.05532727,6.991019149,3.064308124
F35,sterile,sterile,1,1,0,0,,5,2.63,4.6,3.6,5,4.33,4.19,72,-9.96829375,-21.19103797,3.06,8.25504625,10.05532727,6.991019149,3.064308124
F36,game,game,1,-1,4,2,2.45855,3.57,1.5,2.8,2.4,3.33,3.33,2.82,11,-7.75788875,-12.01465625,-1.22,0.10579125,-0.795665,0.406276667,-1.201941667
F36,game,game,1,1,2,1.414213562,2.5253,3.57,1.5,2.8,2.4,3.33,3.33,2.82,11,-7.75788875,-12.01465625,-1.22,0.10579125,-0.795665,0.406276667,-1.201941667
F36,game,sterile,-1,-1,3,1.732050808,2.0745,3.57,1.5,2.8,2.4,3.33,3.33,2.82,11,-7.75788875,-12.01465625,-1.22,0.10579125,-0.795665,0.406276667,-1.201941667
F36,game,sterile,-1,1,4,2,1.8573,3.57,1.5,2.8,2.4,3.33,3.33,2.82,11,-7.75788875,-12.01465625,-1.22,0.10579125,-0.795665,0.406276667,-1.201941667
F37,sterile,game,-1,-1,0,0,,4.43,3.13,3.6,3.4,3.67,4.33,3.76,42,0.9811725,-11.12373875,7.97,19.62253797,25.64503684,17.71541333,7.929623509
F37,sterile,game,-1,1,2,1.414213562,1.59015,4.43,3.13,3.6,3.4,3.67,4.33,3.76,42,0.9811725,-11.12373875,7.97,19.62253797,25.64503684,17.71541333,7.929623509
F37,sterile,sterile,1,-1,0,0,,4.43,3.13,3.6,3.4,3.67,4.33,3.76,42,0.9811725,-11.12373875,7.97,19.62253797,25.64503684,17.71541333,7.929623509
F37,sterile,sterile,1,1,0,0,,4.43,3.13,3.6,3.4,3.67,4.33,3.76,42,0.9811725,-11.12373875,7.97,19.62253797,25.64503684,17.71541333,7.929623509
F38,game,game,1,-1,2,1.414213562,2.23305,3.71,3.75,3.2,3.4,3.33,3.67,3.51,37,0.9396475,-7.19281125,1.63,2.34999125,3.603205263,1.959645902,1.643559362
F38,game,game,1,1,2,1.414213562,2.4349,3.71,3.75,3.2,3.4,3.33,3.67,3.51,37,0.9396475,-7.19281125,1.63,2.34999125,3.603205263,1.959645902,1.643559362
F38,game,sterile,-1,-1,2,1.414213562,2.183,3.71,3.75,3.2,3.4,3.33,3.67,3.51,37,0.9396475,-7.19281125,1.63,2.34999125,3.603205263,1.959645902,1.643559362
F38,game,sterile,-1,1,1,1,2.9594,3.71,3.75,3.2,3.4,3.33,3.67,3.51,37,0.9396475,-7.19281125,1.63,2.34999125,3.603205263,1.959645902,1.643559362
F39,sterile,game,-1,-1,2,1.414213562,2.04945,4,3.63,3.4,3.6,3,3.33,3.49,47,-5.095057895,-7.617485714,4.18,1.716696053,5.094986667,0.885968852,4.209017814
F39,sterile,game,-1,1,2,1.414213562,3.0096,4,3.63,3.4,3.6,3,3.33,3.49,47,-5.095057895,-7.617485714,4.18,1.716696053,5.094986667,0.885968852,4.209017814
F39,sterile,sterile,1,-1,6,2.449489743,2.8593,4,3.63,3.4,3.6,3,3.33,3.49,47,-5.095057895,-7.617485714,4.18,1.716696053,5.094986667,0.885968852,4.209017814
F39,sterile,sterile,1,1,2,1.414213562,2.2498,4,3.63,3.4,3.6,3,3.33,3.49,47,-5.095057895,-7.617485714,4.18,1.716696053,5.094986667,0.885968852,4.209017814
F40,game,game,1,-1,4,2,3.56895,5,3.25,3.4,3.4,4,4.33,3.9,27,-2.091667089,-8.522635897,8.04,4.34433875,10.366825,2.336843333,8.029981667
F40,game,game,1,1,4,2,3.6339,5,3.25,3.4,3.4,4,4.33,3.9,27,-2.091667089,-8.522635897,8.04,4.34433875,10.366825,2.336843333,8.029981667
F40,game,sterile,-1,-1,6,2.449489743,2.8593,5,3.25,3.4,3.4,4,4.33,3.9,27,-2.091667089,-8.522635897,8.04,4.34433875,10.366825,2.336843333,8.029981667
F40,game,sterile,-1,1,2,1.414213562,2.2498,5,3.25,3.4,3.4,4,4.33,3.9,27,-2.091667089,-8.522635897,8.04,4.34433875,10.366825,2.336843333,8.029981667
F41,game,game,1,-1,6,2.449489743,3.6524,4.86,3.25,3,3.2,4.33,4,3.77,25,-3.879855,-10.2470925,11.49,5.172407595,15.06936364,3.571429412,11.49793422
F41,game,game,1,1,9,3,4.0444,4.86,3.25,3,3.2,4.33,4,3.77,25,-3.879855,-10.2470925,11.49,5.172407595,15.06936364,3.571429412,11.49793422
F41,game,sterile,-1,-1,2,1.414213562,3.8444,4.86,3.25,3,3.2,4.33,4,3.77,25,-3.879855,-10.2470925,11.49,5.172407595,15.06936364,3.571429412,11.49793422
F41,game,sterile,-1,1,1,1,3.4465,4.86,3.25,3,3.2,4.33,4,3.77,25,-3.879855,-10.2470925,11.49,5.172407595,15.06936364,3.571429412,11.49793422
M01,game,game,1,-1,11,3.31662479,1.1727,5,3.38,4.4,4.2,5,5,4.5,4,0.24236125,-3.92915125,5.3,4.95716875,6.751803922,1.801086207,4.950717715
M01,game,game,1,1,13,3.605551275,0.8889,5,3.38,4.4,4.2,5,5,4.5,4,0.24236125,-3.92915125,5.3,4.95716875,6.751803922,1.801086207,4.950717715
M01,game,sterile,-1,-1,9,3,0.9557,5,3.38,4.4,4.2,5,5,4.5,4,0.24236125,-3.92915125,5.3,4.95716875,6.751803922,1.801086207,4.950717715
M01,game,sterile,-1,1,9,3,0.8555,5,3.38,4.4,4.2,5,5,4.5,4,0.24236125,-3.92915125,5.3,4.95716875,6.751803922,1.801086207,4.950717715
M02,sterile,game,-1,-1,7,2.645751311,1.4399,4.57,3.63,3.4,3.8,4.33,4,3.95,20,-3.65284375,-12.46543718,3.01,1.863295,4.052668182,1.032843103,3.019825078
M02,sterile,game,-1,1,3,1.732050808,1.2896,4.57,3.63,3.4,3.8,4.33,4,3.95,20,-3.65284375,-12.46543718,3.01,1.863295,4.052668182,1.032843103,3.019825078
M02,sterile,sterile,1,-1,3,1.732050808,2.0577,4.57,3.63,3.4,3.8,4.33,4,3.95,20,-3.65284375,-12.46543718,3.01,1.863295,4.052668182,1.032843103,3.019825078
M02,sterile,sterile,1,1,3,1.732050808,1.7071,4.57,3.63,3.4,3.8,4.33,4,3.95,20,-3.65284375,-12.46543718,3.01,1.863295,4.052668182,1.032843103,3.019825078
M03,sterile,game,-1,-1,12,3.464101615,0.9723,4.43,3.38,1.4,3.2,3,4.33,3.29,15,-2.160047436,-7.182889744,4.02,0.755522078,2.589919048,-1.445754286,4.035673333
M03,sterile,game,-1,1,11,3.31662479,1.04815,4.43,3.38,1.4,3.2,3,4.33,3.29,15,-2.160047436,-7.182889744,4.02,0.755522078,2.589919048,-1.445754286,4.035673333
M03,sterile,sterile,1,-1,15,3.872983346,1.26455,4.43,3.38,1.4,3.2,3,4.33,3.29,15,-2.160047436,-7.182889744,4.02,0.755522078,2.589919048,-1.445754286,4.035673333
M03,sterile,sterile,1,1,14,3.741657387,1.4566,4.43,3.38,1.4,3.2,3,4.33,3.29,15,-2.160047436,-7.182889744,4.02,0.755522078,2.589919048,-1.445754286,4.035673333
M04,game,game,1,-1,2,1.414213562,1.84065,5,3.5,5,4.6,5,5,4.68,25,-11.12623088,-26.92530746,-0.64,-3.306266667,-3.976341176,-2.655337143,-1.321004034
M04,game,game,1,1,1,1,2.0911,5,3.5,5,4.6,5,5,4.68,25,-11.12623088,-26.92530746,-0.64,-3.306266667,-3.976341176,-2.655337143,-1.321004034
M04,game,sterile,-1,-1,1,1,1.1894,5,3.5,5,4.6,5,5,4.68,25,-11.12623088,-26.92530746,-0.64,-3.306266667,-3.976341176,-2.655337143,-1.321004034
M04,game,sterile,-1,1,0,0,,5,3.5,5,4.6,5,5,4.68,25,-11.12623088,-26.92530746,-0.64,-3.306266667,-3.976341176,-2.655337143,-1.321004034
M05,game,game,1,-1,2,1.414213562,2.49185,4.57,4.38,3.6,4,4,3.67,4.04,29,-2.598594805,-1.039991781,5.18,2.567238961,5.59846875,0.411697778,5.186770972
M05,game,game,1,1,1,1,2.5921,4.57,4.38,3.6,4,4,3.67,4.04,29,-2.598594805,-1.039991781,5.18,2.567238961,5.59846875,0.411697778,5.186770972
M05,game,sterile,-1,-1,1,1,1.7906,4.57,4.38,3.6,4,4,3.67,4.04,29,-2.598594805,-1.039991781,5.18,2.567238961,5.59846875,0.411697778,5.186770972
M05,game,sterile,-1,1,1,1,2.4251,4.57,4.38,3.6,4,4,3.67,4.04,29,-2.598594805,-1.039991781,5.18,2.567238961,5.59846875,0.411697778,5.186770972
M06,sterile,game,-1,-1,2,1.414213562,1.7784,4.43,2.63,3.2,3.6,4,3.67,3.59,50,1.02048481,-10.19401818,11.73,9.449224359,18.1959,6.43312931,11.76277069
M06,sterile,game,-1,1,2,1.414213562,1.80725,4.43,2.63,3.2,3.6,4,3.67,3.59,50,1.02048481,-10.19401818,11.73,9.449224359,18.1959,6.43312931,11.76277069
M06,sterile,sterile,1,-1,2,1.414213562,1.42315,4.43,2.63,3.2,3.6,4,3.67,3.59,50,1.02048481,-10.19401818,11.73,9.449224359,18.1959,6.43312931,11.76277069
M06,sterile,sterile,1,1,4,2,1.849,4.43,2.63,3.2,3.6,4,3.67,3.59,50,1.02048481,-10.19401818,11.73,9.449224359,18.1959,6.43312931,11.76277069
M07,sterile,game,-1,-1,6,2.449489743,1.7739,4.14,3.5,3,2.8,4.33,4.67,3.74,69,-1.995410256,-10.93477436,6.55,3.121787179,5.726712766,-0.827616129,6.554328895
M07,sterile,game,-1,1,6,2.449489743,1.8323,4.14,3.5,3,2.8,4.33,4.67,3.74,69,-1.995410256,-10.93477436,6.55,3.121787179,5.726712766,-0.827616129,6.554328895
M07,sterile,sterile,1,-1,5,2.236067977,1.1727,4.14,3.5,3,2.8,4.33,4.67,3.74,69,-1.995410256,-10.93477436,6.55,3.121787179,5.726712766,-0.827616129,6.554328895
M07,sterile,sterile,1,1,3,1.732050808,1.1728,4.14,3.5,3,2.8,4.33,4.67,3.74,69,-1.995410256,-10.93477436,6.55,3.121787179,5.726712766,-0.827616129,6.554328895
M08,game,game,1,-1,4,2,2.2164,4.14,2.75,4,3.4,4,4.67,3.83,14,-2.909073418,-3.411755696,7.96,2.8505,8.898378947,0.902877966,7.995500981
M08,game,game,1,1,1,1,3.2661,4.14,2.75,4,3.4,4,4.67,3.83,14,-2.909073418,-3.411755696,7.96,2.8505,8.898378947,0.902877966,7.995500981
M08,game,sterile,-1,-1,1,1,2.5253,4.14,2.75,4,3.4,4,4.67,3.83,14,-2.909073418,-3.411755696,7.96,2.8505,8.898378947,0.902877966,7.995500981
M08,game,sterile,-1,1,1,1,0.9056,4.14,2.75,4,3.4,4,4.67,3.83,14,-2.909073418,-3.411755696,7.96,2.8505,8.898378947,0.902877966,7.995500981
M09,game,game,1,-1,4,2,1.9659,3.57,3.5,3.6,3.6,3.67,3.33,3.55,91,-1.650588608,-5.796460256,2.47,2.754134177,3.891488095,1.463083784,2.428404311
M09,game,game,1,1,5,2.236067977,3.0763,3.57,3.5,3.6,3.6,3.67,3.33,3.55,91,-1.650588608,-5.796460256,2.47,2.754134177,3.891488095,1.463083784,2.428404311
M09,game,sterile,-1,-1,2,1.414213562,1.124,3.57,3.5,3.6,3.6,3.67,3.33,3.55,91,-1.650588608,-5.796460256,2.47,2.754134177,3.891488095,1.463083784,2.428404311
M09,game,sterile,-1,1,3,1.732050808,1.1393,3.57,3.5,3.6,3.6,3.67,3.33,3.55,91,-1.650588608,-5.796460256,2.47,2.754134177,3.891488095,1.463083784,2.428404311
M10,sterile,game,-1,-1,6,2.449489743,1.0058,4.29,2.88,4.2,4,5,5,4.23,3,-1.402,-1.728744068,0.47,0.619416667,0.835352941,0.337038462,0.49831448
M10,sterile,game,-1,1,7,2.645751311,1.1059,4.29,2.88,4.2,4,5,5,4.23,3,-1.402,-1.728744068,0.47,0.619416667,0.835352941,0.337038462,0.49831448
M10,sterile,sterile,1,-1,9,3,1.5196,4.29,2.88,4.2,4,5,5,4.23,3,-1.402,-1.728744068,0.47,0.619416667,0.835352941,0.337038462,0.49831448
M10,sterile,sterile,1,1,8,2.828427125,1.2793,4.29,2.88,4.2,4,5,5,4.23,3,-1.402,-1.728744068,0.47,0.619416667,0.835352941,0.337038462,0.49831448
M11,game,game,1,-1,1,1,5.51645,4.43,2.25,3,3.2,3.67,4,3.42,37,-0.518523288,-6.020894366,11.52,3.334568493,12.03058333,0.4886,11.54198333
M11,game,game,1,1,4,2,5.81425,4.43,2.25,3,3.2,3.67,4,3.42,37,-0.518523288,-6.020894366,11.52,3.334568493,12.03058333,0.4886,11.54198333
M11,game,sterile,-1,-1,3,1.732050808,6.8669,4.43,2.25,3,3.2,3.67,4,3.42,37,-0.518523288,-6.020894366,11.52,3.334568493,12.03058333,0.4886,11.54198333
M11,game,sterile,-1,1,1,1,15.8339,4.43,2.25,3,3.2,3.67,4,3.42,37,-0.518523288,-6.020894366,11.52,3.334568493,12.03058333,0.4886,11.54198333
M12,sterile,game,-1,-1,2,1.414213562,3.53555,3,3,3,3.6,2.5,4,3.18,50,-1.3400975,-9.796406329,6.57,4.3728175,7.296090698,0.701227778,6.59486292
M12,sterile,game,-1,1,0,0,,3,3,3,3.6,2.5,4,3.18,50,-1.3400975,-9.796406329,6.57,4.3728175,7.296090698,0.701227778,6.59486292
M12,sterile,sterile,1,-1,0,0,,3,3,3,3.6,2.5,4,3.18,50,-1.3400975,-9.796406329,6.57,4.3728175,7.296090698,0.701227778,6.59486292
M12,sterile,sterile,1,1,0,0,,3,3,3,3.6,2.5,4,3.18,50,-1.3400975,-9.796406329,6.57,4.3728175,7.296090698,0.701227778,6.59486292
M13,game,game,1,-1,7,2.645751311,1.2228,3.86,4.75,4.4,4.4,4.33,4.33,4.35,53,-0.55115375,-0.54837,-0.72,1.63169875,1.547291549,2.297577778,-0.750286228
M13,game,game,1,1,9,3,1.0892,3.86,4.75,4.4,4.4,4.33,4.33,4.35,53,-0.55115375,-0.54837,-0.72,1.63169875,1.547291549,2.297577778,-0.750286228
M13,game,sterile,-1,-1,9,3,0.9056,3.86,4.75,4.4,4.4,4.33,4.33,4.35,53,-0.55115375,-0.54837,-0.72,1.63169875,1.547291549,2.297577778,-0.750286228
M13,game,sterile,-1,1,9,3,0.989,3.86,4.75,4.4,4.4,4.33,4.33,4.35,53,-0.55115375,-0.54837,-0.72,1.63169875,1.547291549,2.297577778,-0.750286228
M14,sterile,game,-1,-1,2,1.414213562,0.7553,4,3,2.8,3,3,3.67,3.24,40,-3.24428481,-4.565925641,2.17,7.490064557,9.339841667,7.158761194,2.181080473
M14,sterile,game,-1,1,1,1,0.9055,4,3,2.8,3,3,3.67,3.24,40,-3.24428481,-4.565925641,2.17,7.490064557,9.339841667,7.158761194,2.181080473
M14,sterile,sterile,1,-1,0,0,,4,3,2.8,3,3,3.67,3.24,40,-3.24428481,-4.565925641,2.17,7.490064557,9.339841667,7.158761194,2.181080473
M14,sterile,sterile,1,1,3,1.732050808,3.5272,4,3,2.8,3,3,3.67,3.24,40,-3.24428481,-4.565925641,2.17,7.490064557,9.339841667,7.158761194,2.181080473
M15,sterile,game,-1,-1,3,1.732050808,1.4026,3,3.5,3.6,3.2,3.33,3,3.27,12,-1.777755556,-15.35425915,2.88,2.199544444,4.29919,1.391988462,2.907201538
M15,sterile,game,-1,1,4,2,1.4649,3,3.5,3.6,3.2,3.33,3,3.27,12,-1.777755556,-15.35425915,2.88,2.199544444,4.29919,1.391988462,2.907201538
M15,sterile,sterile,1,-1,5,2.236067977,1.5901,3,3.5,3.6,3.2,3.33,3,3.27,12,-1.777755556,-15.35425915,2.88,2.199544444,4.29919,1.391988462,2.907201538
M15,sterile,sterile,1,1,3,1.732050808,2.5754,3,3.5,3.6,3.2,3.33,3,3.27,12,-1.777755556,-15.35425915,2.88,2.199544444,4.29919,1.391988462,2.907201538
M16,game,game,1,-1,3,1.732050808,1.4566,2.86,3.13,2,2.6,2.33,2.33,2.54,16,-1.019964557,-10.11348354,-0.36,2.942962025,2.770288372,3.149211111,-0.378922739
M16,game,game,1,1,3,1.732050808,1.2562,2.86,3.13,2,2.6,2.33,2.33,2.54,16,-1.019964557,-10.11348354,-0.36,2.942962025,2.770288372,3.149211111,-0.378922739
M16,game,sterile,-1,-1,3,1.732050808,3.3435,2.86,3.13,2,2.6,2.33,2.33,2.54,16,-1.019964557,-10.11348354,-0.36,2.942962025,2.770288372,3.149211111,-0.378922739
M16,game,sterile,-1,1,4,2,2.1329,2.86,3.13,2,2.6,2.33,2.33,2.54,16,-1.019964557,-10.11348354,-0.36,2.942962025,2.770288372,3.149211111,-0.378922739
M17,game,game,1,-1,2,1.414213562,2.2915,4.86,3.13,3.6,3.4,4.33,4.67,4,50,-4.364739189,-16.17235479,4.14,5.885124,8.90198,4.788085455,4.113894545
M17,game,game,1,1,4,2,2.4084,4.86,3.13,3.6,3.4,4.33,4.67,4,50,-4.364739189,-16.17235479,4.14,5.885124,8.90198,4.788085455,4.113894545
M17,game,sterile,-1,-1,1,1,2.8926,4.86,3.13,3.6,3.4,4.33,4.67,4,50,-4.364739189,-16.17235479,4.14,5.885124,8.90198,4.788085455,4.113894545
M17,game,sterile,-1,1,3,1.732050808,2.0366,4.86,3.13,3.6,3.4,4.33,4.67,4,50,-4.364739189,-16.17235479,4.14,5.885124,8.90198,4.788085455,4.113894545
M18,sterile,game,-1,-1,2,1.414213562,3.8946,,,,,,,,,,,,,,,
M18,sterile,game,-1,1,3,1.732050808,5.0132,,,,,,,,,,,,,,,
M18,sterile,sterile,1,-1,3,1.732050808,2.4084,,,,,,,,,,,,,,,
M18,sterile,sterile,1,1,2,1.414213562,3.26975,,,,,,,,,,,,,,,
M19,sterile,game,-1,-1,15,3.872983346,1.2228,3.71,2.88,3.2,3.6,4,3.5,3.48,49,-2.5848675,-10.2005675,8.63,3.63835375,7.626202326,-0.996172973,8.622375299
M19,sterile,game,-1,1,14,3.741657387,1.2562,3.71,2.88,3.2,3.6,4,3.5,3.48,49,-2.5848675,-10.2005675,8.63,3.63835375,7.626202326,-0.996172973,8.622375299
M19,sterile,sterile,1,-1,13,3.605551275,1.156,3.71,2.88,3.2,3.6,4,3.5,3.48,49,-2.5848675,-10.2005675,8.63,3.63835375,7.626202326,-0.996172973,8.622375299
M19,sterile,sterile,1,1,14,3.741657387,1.5317,3.71,2.88,3.2,3.6,4,3.5,3.48,49,-2.5848675,-10.2005675,8.63,3.63835375,7.626202326,-0.996172973,8.622375299
